Filename,Function,Reason Not Tested
controllers/appadmin.py,bg_graph_model,Autogenerated web2py code
controllers/appadmin.py,ccache,Autogenerated web2py code
controllers/appadmin.py,csv,Autogenerated web2py code
controllers/appadmin.py,download,Autogenerated web2py code
controllers/appadmin.py,eval_in_global_env,Autogenerated web2py code
controllers/appadmin.py,FONT,Autogenerated web2py code
controllers/appadmin.py,get_database,Autogenerated web2py code
controllers/appadmin.py,get_databases,Autogenerated web2py code
controllers/appadmin.py,GetInHMS,Autogenerated web2py code
controllers/appadmin.py,get_query,Autogenerated web2py code
controllers/appadmin.py,get_table,Autogenerated web2py code
controllers/appadmin.py,graph_model,Autogenerated web2py code
controllers/appadmin.py,import_csv,Autogenerated web2py code
controllers/appadmin.py,index,Autogenerated web2py code
controllers/appadmin.py,insert,Autogenerated web2py code
controllers/appadmin.py,key_table,Autogenerated web2py code
controllers/appadmin.py,manage,Autogenerated web2py code
controllers/appadmin.py,query_by_table_type,Autogenerated web2py code
controllers/appadmin.py,select,Autogenerated web2py code
controllers/appadmin.py,state,Autogenerated web2py code
controllers/appadmin.py,table_template,Autogenerated web2py code
controllers/appadmin.py,types,Autogenerated web2py code
controllers/appadmin.py,update,Autogenerated web2py code
controllers/default.py,user,Autogenerated web2py code
controllers/default.py,call,Autogenerated web2py code
controllers/default.py,data,Autogenerated web2py code
controllers/default.py,download,Autogenerated web2py code
controllers/database_example.py,*,Autogenerated web2py code
controllers/classes/module.py,changeActual,Not testing getters/setters
controllers/classes/module.py,getProgress,Not testing getters/setters
controllers/classes/module.py,isFinished,Not testing getters/setters
controllers/classes/team.py,changeModifier,Not testing getters/setters
controllers/classes/team.py,changeTeamSize,Not testing getters/setters
controllers/classes/team.py,totalEffort,Not testing getters/setters
models/menu.py,*,Autogenerated web2py code
controllers/default.py,new_game_cal,Place holder for Future Feature
controllers/default.py,addIntervention,Uses Web2py Parameters that can't be passed
controllers/default.py,handleQuery, Uses Web2py Parameters that can't be passed
controllers/default.py,emailQuery,Not testing web2py parameters passed
controllers/default.py,emailModuleReport,Not testing web2py parameters
controllers/default.py,emailCompletedTasks,Not testing web2py parameters passed
controllers/default.py,holdVideoConference,Not testing web2py parameters passed
controllers/default.py,makeSiteVisit,Not testing web2py parameters passed
controllers/default.py,save_game_report,Not testing web2py functions
controllers/default.py,new_game,Not testing web2py functions
controllers/default.py,load_game, Not testing web2py functions
controllers/default.py,index, Not testing web2py functions
controllers/default.py,view_game, Not testing web2py functions
controllers/default.py,show_saved_reports, Unable to test web functions
controllers/default.py,view, Not tested due to Web2py Fuctions
